Country,Population
Burundi,11531
Comoros,851
Djibouti,974
Eritrea,3497
Ethiopia,112079
Kenya,52574
Madagascar,26969
Malawi,18629
Mauritius,1270
Mayotte,266
Mozambique,30366
Rwanda,12627
Seychelles,98
Somalia,15443
South Sudan,11062
Uganda,44270
United Republic of Tanzania,58005
Zambia,17861
Zimbabwe,14645
Angola,31825
Cameroon,25876
Central African Republic,4745
Chad,15947
Congo,5381
Democratic Republic of the Congo,86791
Equatorial Guinea,1356
Gabon,2173
Sao Tome and Principe,215
Botswana,2304
Eswatini,1148
Lesotho,2125
Namibia,2495
South Africa,58558
Benin,11801
Burkina Faso,20321
Cabo Verde,550
Gambia,2348
Ghana,30418
Guinea,12771
Guinea-Bissau,1921
Liberia,4937
Mali,19658
Mauritania,4526
Niger,23311
Nigeria,200964
Saint Helena,6
Senegal,16296
Sierra Leone,7813
Togo,8082
Algeria,43053
Egypt,100388
Libya,6777
Morocco,36472
Sudan,42813
Tunisia,11695
Western Sahara,582
Armenia,2958
Azerbaijan,10048
Bahrain,1641
Cyprus,1199
Georgia,3997
Iraq,39310
Israel,8519
Jordan,10102
Kuwait,4207
Lebanon,6856
Oman,4975
Qatar,2832
Saudi Arabia,34269
State of Palestine,4981
Syrian Arab Republic,17070
Turkey,83430
United Arab Emirates,9771
Yemen,29162
Kazakhstan,18551
Kyrgyzstan,6416
Tajikistan,9321
Turkmenistan,5942
Uzbekistan,32982
Afghanistan,38042
Bangladesh,163046
Bhutan,763
India,1366418
Iran (Islamic Republic of),82914
Maldives,531
Nepal,28609
Pakistan,216565
Sri Lanka,21324
China,1433784
"China, Hong Kong SAR",7436
"China, Macao SAR",640
"China, Taiwan Province of China",23774
Dem. People's Republic of Korea,25666
Japan,126860
Mongolia,3225
Republic of Korea,51225
Brunei Darussalam,433
Cambodia,16487
Indonesia,270626
Lao People's Democratic Republic,7169
Malaysia,31950
Myanmar,54045
Philippines,108117
Singapore,5804
Thailand,69626
Timor-Leste,1293
Viet Nam,96462
Anguilla,15
Antigua and Barbuda,97
Aruba,106
Bahamas,389
Barbados,287
"Bonaire, Sint Eustatius and Saba",26
British Virgin Islands,30
Cayman Islands,65
Cuba,11333
Dominica,72
Dominican Republic,10739
Grenada,112
Guadeloupe,400
Haiti,11263
Jamaica,2948
Martinique,376
Montserrat,5
Puerto Rico,2933
Saint Kitts and Nevis,53
Saint Lucia,183
Saint Martin (French part),38
Saint Vincent and the Grenadines,111
Sint Maarten (Dutch part),42
Trinidad and Tobago,1395
Turks and Caicos Islands,38
United States Virgin Islands,105
Belize,390
Costa Rica,5048
El Salvador,6454
Guatemala,17581
Honduras,9746
Mexico,127576
Nicaragua,6546
Panama,4246
Argentina,44781
Bolivia (Plurinational State of),11513
Brazil,211050
Chile,18952
Colombia,50339
Ecuador,17374
Falkland Islands (Malvinas),3
French Guiana,291
Guyana,783
Paraguay,7045
Peru,32510
Suriname,581
Uruguay,3462
Venezuela (Bolivarian Republic of),28516
Australia,25203
New Zealand,4783
Fiji,890
New Caledonia,283
Papua New Guinea,8776
Solomon Islands,670
Vanuatu,300
Guam,167
Kiribati,118
Marshall Islands,59
Micronesia (Fed. States of),114
Nauru,11
Northern Mariana Islands,57
Palau,18
American Samoa,55
Cook Islands,18
French Polynesia,279
Niue,2
Samoa,197
Tokelau,1
Tonga,104
Tuvalu,12
Wallis and Futuna Islands,11
Belarus,9452
Bulgaria,7000
Czechia,10689
Hungary,9685
Poland,37888
Republic of Moldova,4043
Romania,19365
Russian Federation,145872
Slovakia,5457
Ukraine,43994
Channel Islands,172
Denmark,5772
Estonia,1326
Faroe Islands,49
Finland,5532
Iceland,339
Ireland,4882
Isle of Man,85
Latvia,1907
Lithuania,2760
Norway,5379
Sweden,10036
United Kingdom,67530
Albania,2881
Andorra,77
Bosnia and Herzegovina,3301
Croatia,4130
Gibraltar,34
Greece,10473
Holy See,1
Italy,60550
Malta,440
Montenegro,628
North Macedonia,2083
Portugal,10226
San Marino,34
Serbia,8772
Slovenia,2079
Spain,46737
Austria,8955
Belgium,11539
France,65130
Germany,83517
Liechtenstein,38
Luxembourg,616
Monaco,39
Netherlands,17097
Switzerland,8591
Bermuda,63
Canada,37411
Greenland,57
Saint Pierre and Miquelon,6
United States of America,329065